Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"ROBERTI, ALBERTO OSCAR",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE RENOVADOR
,"ROGEL, FABIAN DULIO",ENTRE RIOS,10/12/2011,9/12/2015,UCR
,"ROMERO, OSCAR ALBERTO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"ROSSI, BLANCA ARACELI",CORDOBA,10/12/2013,9/12/2017,UNION POR CORDOBA
,"RUBIN, CARLOS GUSTAVO",CORRIENTES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"RUIZ, AIDA DELIA",SANTIAGO DEL ESTERO,10/12/2011,9/12/2015,FRENTE CIVICO POR SANTIAGO
,"SACCA, LUIS FERNANDO",TUCUMAN,10/12/2011,9/12/2015,UCR
,"SALINO, FERNANDO ALDO",SAN LUIS,10/12/2013,9/12/2017,COMPROMISO FEDERAL
,"SAN MARTIN, ADRIAN",NEUQUEN,10/12/2013,9/12/2017,MOV POP NEUQUINO
,"SANCHEZ, FERNANDO",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,COALICION CIVICA ARI - UNEN
,"SANTILLAN, WALTER MARCELO",TUCUMAN,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"SANTIN, EDUARDO",BUENOS AIRES,10/12/2011,9/12/2015,UCR
,"SCAGLIA, GISELA",SANTA FE,10/12/2013,9/12/2017,UNION PRO
,"SCHIARETTI, JUAN",CORDOBA,10/12/2013,9/12/2017,UNION POR CORDOBA
,"SCHMIDT LIERMANN, CORNELIA",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,UNION PRO
,"SCHWINDT, MARIA LILIANA",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"SCIUTTO, RUBEN DARIO",TIERRA DEL FUEGO,10/12/2011,9/12/2015,PERONISMO MAS AL SUR
,"SCOTTO, SILVIA CAROLINA",CORDOBA,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"SEGARRA, ADELA ROSA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"SEMHAN, MARIA DE LAS MERCEDES",CORRIENTES,10/12/2013,9/12/2017,ENCUENTRO POR CORRIENTES
,"SEMINARA, EDUARDO JORGE",SANTA FE,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"SIMONCINI, SILVIA ROSA",SANTA FE,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"SOLA, FELIPE CARLOS",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"SOLANAS, JULIO RODOLFO",ENTRE RIOS,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"SORIA, MARIA EMILIA",RIO NEGRO,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"SOTO, GLADYS BEATRIZ",CHACO,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"SPINOZZI, RICARDO ADRIAN",SANTA FE,10/12/2013,9/12/2017,UNION PRO
